Severity,Mean,Std,Accuracy
1,0.9999988888886566,4.445339663058968e-16,0.998
2,0.9999822222185133,2.222669831529484e-16,0.996
3,0.9999099999678136,1.111334915764742e-16,0.998
4,0.999715555496216,2.222669831529484e-16,0.996
5,0.9993055554727714,1.111334915764742e-16,0.996
6,0.9985599994850158,0.0,0.996
7,0.9973322214953106,2.222669831529484e-16,0.996
8,0.995448887939453,1.111334915764742e-16,0.992
9,0.9927099988412854,2.222669831529484e-16,0.99
10,0.9888888875643413,2.222669831529484e-16,0.98
11,0.9837322208118437,1.111334915764742e-16,0.968
12,0.976959991760253,2.222669831529484e-16,0.968
13,0.9682655456614485,2.222669831529484e-16,0.948
14,0.9573155439249665,2.222669831529484e-16,0.934
15,0.9437500134110443,3.3340047472942265e-16,0.9
16,0.9271822395833316,2.222669831529484e-16,0.836
17,0.9071988914918897,2.222669831529484e-16,0.82
18,0.883360027809141,4.445339663058968e-16,0.784
19,0.855198896156947,3.3340047472942265e-16,0.744
20,0.8222222646077437,1.111334915764742e-16,0.668
21,0.7839100147199627,0.0,0.618
22,0.7397155329895013,1.111334915764742e-16,0.57
23,0.6890655813407888,2.222669831529484e-16,0.554
24,0.6313599780273432,0.0,0.5
25,0.5659722636143352,0.0,0.468
26,0.49224887026468883,5.55667457882371e-17,0.416
27,0.4095100625705692,2.222669831529484e-16,0.366
28,0.31704887725830055,1.111334915764742e-16,0.308
29,0.2141323126745185,0.0,0.268
